Meter Number,Account Name,Borough,Service Start Date,is_federal,is_bws,Meter AMR,# days,Consumption (HCF),Current Charges,Other Charges,Service End Date,Building,Estimated score,Bill Analyzed score
A06002042,LOWER EAST SIDE II,MANHATTAN,11/14/2012,True,True,True,2717,59257,575957.94,0.0,10/22/2019,337_BLD 04,0.0,1.0
A08000393,SAMUEL (CITY),MANHATTAN,12/13/2012,False,True,True,2688,13493,133051.65,0.0,10/22/2019,377_BLD 16,0.0,0.9651162790697675
A08000399,SAMUEL (CITY),MANHATTAN,12/13/2012,False,True,True,2031,10832,104451.02,0.0,07/16/2018,377_BLD 45,0.0,0.9692307692307692
A08000442,CLAREMONT REHAB (GROUP 4),BRONX,11/16/2012,True,True,True,2050,15572,149363.68,0.0,07/06/2018,335_BLD 01,0.9538461538461539,0.9846153846153847
A08000848,SAMUEL (CITY),MANHATTAN,12/13/2012,False,True,True,2001,17792,171161.25,0.0,07/16/2018,377_BLD 33,0.015625,0.953125
A09000135,LOWER EAST SIDE I INFILL,MANHATTAN,01/14/2013,True,True,True,948,16099,152082.51,0.0,08/20/2015,326_BLD 05,0.0,0.9310344827586207
A10000305,LOWER EAST SIDE I INFILL,MANHATTAN,01/14/2013,True,True,True,948,13172,123373.02,0.0,08/20/2015,326_BLD 04,0.0,0.9310344827586207
A10000581,EAST 173RD STREET-VYSE AVENUE,BRONX,11/24/2014,True,True,False,1061,9352,91450.97,0.0,10/20/2017,338_BLD 07,0.5625,1.0
B15006290,FHA REPOSSESSED HOUSES (GROUP V),FHA,03/22/2018,True,True,True,763,333,3378.31,0.0,10/22/2019,260_102-36 187TH STREET,0.0,1.0
B15006434,FHA REPOSSESSED HOUSES (GROUP III),FHA,06/20/2019,True,True,True,308,42,423.69,119.29,10/22/2019,213_100-38 FRANCIS LEWIS BOULEVARD,0.0,1.0
B15086107,FHA REPOSSESSED HOUSES (GROUP VII),FHA,03/24/2016,True,True,True,1491,6053,10050.26,0.0,10/22/2019,274_118-15 199TH STREET,0.0,0.9387755102040817
B15086125,FHA REPOSSESSED HOUSES (GROUP IX),FHA,01/25/2017,True,True,False,280,9,355.32,0.0,11/01/2017,283_107-34 PRINCETON STREET,1.0,0.9
B15427961,CLAREMONT REHAB (GROUP 2),BRONX,11/16/2012,True,True,False,2671,258,3372.01,38.07,11/10/2019,307_BLD 06,0.9642857142857143,1.0
B18138683,FHA REPOSSESSED HOUSES (GROUP III),FHA,04/27/2018,True,True,True,727,203,2070.2,0.0,10/22/2019,213_188-23 LEWISTON AVENUE,0.0,0.9166666666666666
B35397973,SAMUEL (MHOP) I,MANHATTAN,01/14/2013,False,True,True,2656,7841,77092.98,0.0,10/22/2019,389_BLD 43,0.0,0.9529411764705882
D31200383,FHA REPOSSESSED HOUSES (GROUP V),FHA,11/14/2012,True,True,True,615,116,1129.99,0.0,07/22/2014,260_219-30 102ND AVENUE,0.0,0.9411764705882353
D60034850,INGERSOLL,BROOKLYN,10/15/2010,False,True,False,3404,111,4196.82,77.41,11/10/2019,14_BLD 35,0.9634146341463414,1.0
D88865432,FHA REPOSSESSED HOUSES (GROUP X),FHA,12/12/2012,True,True,False,2691,1482,14867.97,0.0,10/25/2019,284_153 BEACH 59TH STREET,0.85,1.0
E09010097,UPACA (SITE 6),MANHATTAN,01/14/2013,True,True,True,2659,39320,384498.65,0.0,10/22/2019,355_BLD 01,0.36470588235294116,0.9764705882352941
E09010099,UPACA (SITE 6),MANHATTAN,01/14/2013,True,True,True,2657,66784,653489.38,0.0,10/22/2019,355_BLD 01,0.011764705882352941,0.9764705882352941
E09031333,CONLON LIHFE TOWER,QUEENS,08/15/2017,True,True,True,982,68207,687389.66,0.0,10/22/2019,232_BLD 01,0.0,1.0
E09031381,BOYNTON AVENUE REHAB,BRONX,01/14/2013,True,True,True,444,12549,113981.34,0.0,04/03/2014,346_BLD 3,0.0,0.9230769230769231
E10000581,EAST 173RD STREET-VYSE AVENUE,BRONX,06/30/2011,True,True,False,1243,13627,120464.37,0.0,11/24/2014,338_BLD 07,0.2,1.0
E10052406,SAMUEL (CITY),MANHATTAN,11/14/2012,False,True,True,2717,24101,234772.41,0.0,10/22/2019,377_BLD 10,0.0,0.9651162790697675
E10073926,LOWER EAST SIDE III,MANHATTAN,11/14/2012,True,True,True,505,7621,69010.71,0.0,04/03/2014,364_BLD 02,0.0,0.9285714285714286
E10127587,EAST 173RD STREET-VYSE AVENUE,BRONX,02/16/2013,True,True,True,1707,38649,374302.43,0.0,10/20/2017,338_BLD 02,0.017857142857142856,0.9642857142857143
E10127758,THOMAS APARTMENTS,MANHATTAN,11/14/2012,True,True,True,2717,65265,639568.27,0.0,10/22/2019,268_BLD 01,0.0,0.9767441860465116
E11310342,HIGHBRIDGE REHABS (ANDERSON AVENUE),BRONX,03/26/2014,True,True,True,1563,37567,367279.01,0.0,07/06/2018,370_BLD 03,0.33962264150943394,1.0
E11310572,HOWARD AVENUE,BROOKLYN,07/23/2013,True,True,True,2439,16402,161671.15,0.0,10/22/2019,339_BLD 02,0.0,0.975
E11337376,STANTON STREET,MANHATTAN,11/14/2012,True,True,True,505,2036,18448.49,0.0,04/03/2014,559_BLD 01,0.0,0.9285714285714286
E12092566,STERLING PLACE REHABS (STERLING-BUFFALO),BROOKLYN,02/05/2013,True,True,True,1813,17537,168011.27,0.0,01/23/2018,368_BLD 05,0.0,1.0
E12221061,LONGFELLOW AVENUE REHAB,BRONX,03/20/2013,True,True,True,408,8051,73576.49,0.0,04/21/2014,362_BLD 01,0.0,0.9285714285714286
E12221107,WEST FARMS ROAD REHAB,BRONX,02/14/2013,True,True,True,2625,58079,567459.68,0.0,10/22/2019,360_BLD 03,0.0,0.9764705882352941
E12261841,STEBBINS AVENUE-HEWITT PLACE,BRONX,12/27/2012,True,True,True,2674,83899,818401.48,0.0,10/22/2019,353_BLD 01,0.0,0.9767441860465116
E12282571,WEST FARMS ROAD REHAB,BRONX,09/25/2017,True,True,True,2036,45905,480816.71,0.0,10/22/2019,360_BLD 04,0.0,1.0
